Thread ID,Response Time (seconds)
1,4.9470
5,5.4170
3,3.4110
6,4.5350
2,4.0612
9,4.4432
4,3.8690
11,4.0942
10,5.6570
8,5.4594
13,5.4094
14,2.6381
12,2.5203
7,2.6440
3,2.2716
6,3.1439
1,2.7924
5,3.6355
9,4.4071
2,3.8632
11,2.5239
10,1.9428
4,3.4442
14,3.4339
13,4.3309
12,4.6376
8,4.5448
7,2.0255
3,1.9099
1,2.9183
5,2.2763
2,3.3435
9,3.5772
6,4.5592
11,2.5891
4,3.6522
10,3.6110
14,2.2016
7,1.9741
12,3.3796
8,3.2578
13,2.3103
3,2.3255
5,2.1904
1,2.3431
2,2.2270
6,2.6204
10,5.7384
11,5.8528
9,5.6115
14,4.3943
4,2.3349
12,2.7123
7,3.9604
8,4.1631
13,2.6553
