Thread ID,Response Time (seconds)
12,2.4429
7,2.5646
14,2.5550
4,5.8154
2,7.3099
13,6.3149
18,8.7952
5,9.1084
15,9.1517
9,9.1654
19,9.0921
20,9.9627
8,5.9447
16,7.6643
10,4.2394
17,2.7747
11,4.6095
3,5.2311
6,3.3394
14,4.4102
7,4.4260
12,3.3510
5,2.9231
13,4.3579
4,3.0185
1,3.3315
2,3.2646
18,3.3098
10,6.5701
15,6.1073
16,3.7459
9,3.5557
19,3.5854
17,6.7766
20,2.0842
11,4.3721
6,5.4814
8,5.2851
3,2.3670
12,2.6744
7,3.5022
14,4.2639
5,1.9499
2,6.2714
1,6.8889
18,2.9129
4,6.5658
13,7.3742
10,2.2178
15,4.7792
20,5.0174
9,5.3466
19,3.6214
16,2.7323
17,2.2831
11,3.7204
3,4.1835
8,4.5056
6,4.4139
14,2.0649
7,3.3992
12,3.1621
5,2.2843
2,2.1343
1,2.2659
10,3.5146
13,3.6183
4,2.6088
18,2.1919
9,2.8365
19,2.2941
16,3.2990
15,3.5402
17,4.5646
