nome_hotel,cidade,tipo_quarto,numero_quarto,quantidade_pessoas,preco,dia,mes,ano,ocupado
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,7,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,8,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,9,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,10,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,11,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,12,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,13,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,14,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,15,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,16,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,17,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,18,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,19,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,20,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,21,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,22,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,23,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,24,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,25,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,26,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,27,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,28,4,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,29,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,30,4,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,1,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,2,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,3,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,4,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,5,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,6,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,7,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,8,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,9,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,10,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,11,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,12,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,13,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,14,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,15,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,16,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,17,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,18,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,19,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,20,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,21,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,22,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,23,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,24,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,25,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,26,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,27,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,28,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,29,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,30,5,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,31,5,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,1,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,2,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,3,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,4,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,5,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,6,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,7,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,8,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,9,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,10,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,11,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,12,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,13,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,14,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,15,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,16,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,17,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,18,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,19,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,20,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,21,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,22,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,23,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,24,6,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,25,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,26,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,27,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,28,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,29,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,30,6,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,1,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,2,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,3,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,4,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,5,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,6,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,7,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,8,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,9,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,10,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,11,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,12,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,13,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,14,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,15,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,16,7,2025,1
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,17,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,18,7,2025,0
Hotel Barbosa Plaza,Los Angeles,Deluxe,1,4,1564.86,19,7,2025,1
